,question,answer,context
28,"
What were Augustus's main contributions to the development of Rome as a city?
","
Augustus transformed Rome through a major building program, established local police and firefighting services, and developed the Campus Martius into an attractive public space with monuments and gardens.
","Traditional Roman education was moral and practical. Stories were meant to instil Roman values (mores maiorum). Parents were expected to act as role models, and working parents passed their skills to their children, who might also enter apprenticeships. Young children were attended by a pedagogue, usually a Greek slave or former slave, who kept the child safe, taught self-discipline and public behaviour, attended class and helped with tutoring.

=== City and country ===
The city was viewed as fostering civilization by being ""properly designed, ordered, and adorned"". Augustus undertook a vast building programme in Rome, supported public displays of art that expressed imperial ideology, and reorganized the city into neighbourhoods (vici) administered at the local level with police and firefighting services. A focus of Augustan monumental architecture was the Campus Martius, an open area outside the city centre: the Altar of Augustan Peace (Ara Pacis Augustae) was located there, as was an obelisk imported from Egypt that formed the pointer (gnomon) of a horologium. With its public gardens, the Campus was among the most attractive places in Rome to visit.

Formal education was available only to families who could pay for it; lack of state support contributed to low literacy. Primary education in reading, writing, and arithmetic might take place at home if parents hired or bought a teacher. Other children attended ""public"" schools organized by a schoolmaster (ludimagister) paid by parents. Vernae (homeborn slave children) might share in-home or public schooling. Boys and girls received primary education generally from ages 7 to 12, but classes were not segregated by grade or age. Most schools employed corporal punishment. For the socially ambitious, education in Greek as well as Latin was necessary. Schools became more numerous during the Empire, increasing educational opportunities."
29,"
How did the Roman Empire handle legal conflicts between Roman and provincial laws?
","
When provincial laws conflicted with Roman law, cases could be appealed to Roman courts with the emperor having the final authority on decisions.
","== Society ==

=== Recreation ===

Roman courts held original jurisdiction over cases involving Roman citizens throughout the empire, but there were too few judicial functionaries to impose Roman law uniformly in the provinces. Most parts of the Eastern Empire already had well-established law codes and juridical procedures. Generally, it was Roman policy to respect the mos regionis (""regional tradition"" or ""law of the land"") and to regard local laws as a source of legal precedent and social stability. The compatibility of Roman and local law was thought to reflect an underlying ius gentium, the ""law of nations"" or international law regarded as common and customary. If provincial law conflicted with Roman law or custom, Roman courts heard appeals, and the emperor held final decision-making authority."
30,"
What significant change did Augustus establish during his rule?
","
Augustus created a new constitutional system that enabled monarchical succession, allowing Tiberius to become the next ruler after his death.
","Augustus' programme of urban renewal, and the growth of Rome's population to as many as one million, was accompanied by nostalgia for rural life. Poetry idealized the lives of farmers and shepherds. Interior decorating often featured painted gardens, fountains, landscapes, vegetative ornament, and animals, rendered accurately enough to be identified by species. On a more practical level, the central government took an active interest in supporting agriculture. Producing food was the priority of land use. Larger farms (latifundia) achieved an economy of scale that sustained urban life. Small farmers benefited from the development of local markets in towns and trade centres. Agricultural techniques such as crop rotation and selective breeding were disseminated throughout the Empire, and new crops were introduced from one province to another.

the first epoch of Roman imperial history. Although the republic stood in name, Augustus had all meaningful authority. During his 40-year rule, a new constitutional order emerged so that, upon his death, Tiberius would succeed him as the new de facto monarch.

The network of cities (coloniae, municipia, civitates or in Greek terms poleis) was a primary cohesive force during the Pax Romana. Romans of the 1st and 2nd centuries were encouraged to ""inculcate the habits of peacetime"". As the classicist Clifford Ando noted:

Most of the cultural appurtenances popularly associated with imperial culture—public cult and its games and civic banquets, competitions for artists, speakers, and athletes, as well as the funding of the great majority of public buildings and public display of art—were financed by private individuals, whose expenditures in this regard helped to justify their economic power and legal and provincial privileges."
31,"
How did Augustus's moral legislation treat adultery differently for men and women?
","
While married women could only have sexual relations with their husbands, married men were legally permitted to have relations with prostitutes and people of lower social status without it being considered adultery.
","As part of the Augustan programme to restore traditional morality and social order, moral legislation attempted to regulate conduct as a means of promoting ""family values"". Adultery was criminalized, and defined broadly as an illicit sex act (stuprum) between a male citizen and a married woman, or between a married woman and any man other than her husband. That is, a double standard was in place: a married woman could have sex only with her husband, but a married man did not commit adultery if he had sex with a prostitute or person of marginalized status. Childbearing was encouraged: a woman who had given birth to three children was granted symbolic honours and greater legal freedom (the ius trium liberorum).


==== Slaves and the law ====

In a status-conscious society like that of the Romans, clothing and personal adornment indicated the etiquette of interacting with the wearer. Wearing the correct clothing reflected a society in good order. There is little direct evidence of how Romans dressed in daily life, since portraiture may show the subject in clothing with symbolic value, and surviving textiles are rare.
The toga was the distinctive national garment of the male citizen, but it was heavy and impractical, worn mainly for conducting political or court business and religious rites. It was a ""vast expanse"" of semi-circular white wool that could not be put on and draped correctly without assistance. The drapery became more intricate and structured over time. The toga praetexta, with a purple or purplish-red stripe representing inviolability, was worn by children who had not come of age, curule magistrates, and state priests. Only the emperor could wear an all-purple toga (toga picta).

== Arts ==

Greek art had a profound influence on Roman art. Public art—including sculpture, monuments such as victory columns or triumphal arches, and the iconography on coins—is often analysed for historical or ideological significance. In the private sphere, artistic objects were made for religious dedications, funerary commemoration, domestic use, and commerce. The wealthy advertised their appreciation of culture through artwork and decorative arts in their homes. Despite the value placed on art, even famous artists were of low social status, partly as they worked with their hands.


=== Portraiture ==="
32,"
What significant change did Constantine the Great make to the Roman Empire?
","
Constantine the Great moved the imperial capital from Rome to Byzantium, renaming it Constantinople in 330 AD.
","The first two centuries of the Empire saw a period of unprecedented stability and prosperity known as the Pax Romana (lit. 'Roman Peace'). Rome reached its greatest territorial extent under Trajan (r. 98–117 AD), but a period of increasing trouble and decline began under Commodus (r. 180–192). In the 3rd century, the Empire underwent a 49-year crisis that threatened its existence due to civil war, plagues and barbarian invasions. The Gallic and Palmyrene empires broke away from the state and a series of short-lived emperors led the Empire, which was later reunified under Aurelian (r. 270–275). The civil wars ended with the victory of Diocletian (r. 284–305), who set up two different imperial courts in the Greek East and Latin West. Constantine the Great (r. 306–337), the first Christian emperor, moved the imperial seat from Rome to Byzantium in 330, and renamed it Constantinople. The Migration Period, involving large invasions by Germanic peoples and by the Huns of Attila, led to the

the Empire permitted the exchange of large sums without physically transferring coins, in part because of the risks of moving large amounts of cash. Only one serious credit shortage is known to have occurred in the early Empire, in 33 AD; generally, available capital exceeded the amount needed by borrowers. The central government itself did not borrow money, and without public debt had to fund deficits from cash reserves.

Roman slavery was not based on race. Generally, slaves in Italy were indigenous Italians, with a minority of foreigners (including both slaves and freedmen) estimated at 5% of the total in the capital at its peak, where their number was largest. Foreign slaves had higher mortality and lower birth rates than natives and were sometimes even subjected to mass expulsions. The average recorded age at death for the slaves of the city of Rome was seventeen and a half years (17.2 for males; 17.9 for females)."
33,"
Which famous writers were forced to commit suicide during Nero's reign?
","
Seneca, Lucan, and Petronius were forced to commit suicide after falling out of favor with Emperor Nero.
","Christians of the 4th century believed the conversion of Constantine showed that Christianity had triumphed over paganism (in Heaven) and little further action besides such rhetoric was necessary. Thus, their focus shifted towards heresy. According to Peter Brown, ""In most areas, polytheists were not molested, and apart from a few ugly incidents of local violence, Jewish communities also enjoyed a century of stable, even privileged, existence"".: 641–643  There were anti-pagan laws, but they were not generally enforced; through the 6th century, centers of paganism existed in Athens, Gaza, Alexandria, and elsewhere.

Roman courts held original jurisdiction over cases involving Roman citizens throughout the empire, but there were too few judicial functionaries to impose Roman law uniformly in the provinces. Most parts of the Eastern Empire already had well-established law codes and juridical procedures. Generally, it was Roman policy to respect the mos regionis (""regional tradition"" or ""law of the land"") and to regard local laws as a source of legal precedent and social stability. The compatibility of Roman and local law was thought to reflect an underlying ius gentium, the ""law of nations"" or international law regarded as common and customary. If provincial law conflicted with Roman law or custom, Roman courts heard appeals, and the emperor held final decision-making authority.

The mid-1st through mid-2nd century has conventionally been called the ""Silver Age"" of Latin literature. The three leading writers—Seneca, Lucan, and Petronius—committed suicide after incurring Nero's displeasure. Epigrammatist and social observer Martial and the epic poet Statius, whose poetry collection Silvae influenced Renaissance literature, wrote during the reign of Domitian. Other authors of the Silver Age included Pliny the Elder, author of the encyclopedic Natural History; his nephew, Pliny the Younger; and the historian Tacitus."
34,"
How did wealthy Romans display their social status and prestige?
","
Wealthy Romans demonstrated their prestige by investing in estates, luxury items, public entertainment, monuments, and religious offerings.
","The principal Latin prose author of the Augustan age is the historian Livy, whose account of Rome's founding became the most familiar version in modern-era literature. The Twelve Caesars by Suetonius is a primary source for imperial biography. Among Imperial historians who wrote in Greek are Dionysius of Halicarnassus, Josephus, and Cassius Dio. Other major Greek authors of the Empire include the biographer Plutarch, the geographer Strabo, and the rhetorician and satirist Lucian.

Economic dynamism resulted in social mobility. Although aristocratic values permeated traditional elite society, wealth requirements for rank indicate a strong tendency towards plutocracy. Prestige could be obtained through investing one's wealth in grand estates or townhouses, luxury items, public entertainments, funerary monuments, and religious dedications. Guilds (collegia) and corporations (corpora) provided support for individuals to succeed through networking. ""There can be little doubt that the lower classes of ... provincial towns of the Roman Empire enjoyed a high standard of living not equaled again in Western Europe until the 19th century"". Households in the top 1.5% of income distribution captured about 20% of income. The ""vast majority"" produced more than half of the total income, but lived near subsistence.

transportation in the 1st and 2nd centuries expanded greatly, and trade routes connected regional economies. The supply contracts for the army drew on local suppliers near the base (castrum), throughout the province, and across provincial borders."
35,"
What evidence in Greenland shows the massive scale of Roman metal production?
","
Lead pollution levels in Greenland's ice sheet increased to four times the prehistoric levels during the Roman Imperial era.
","In the city of Rome, most people lived in multistory apartment buildings (insulae) that were often squalid firetraps. Public facilities—such as baths (thermae), toilets with running water (latrinae), basins or elaborate fountains (nymphea) delivering fresh water, and large-scale entertainments such as chariot races and gladiator combat—were aimed primarily at the common people. 
The public baths served hygienic, social and cultural functions. Bathing was the focus of daily socializing. Roman baths were distinguished by a series of rooms that offered communal bathing in three temperatures, with amenities that might include an exercise room, sauna, exfoliation spa, ball court, or outdoor swimming pool. Baths had hypocaust heating: the floors were suspended over hot-air channels. Public baths were part of urban culture throughout the provinces, but in the late 4th century, individual tubs began to replace communal bathing. Christians were advised to go to the baths only for hygiene.

In Latin, illiteratus could mean both ""unable to read and write"" and ""lacking in cultural awareness or sophistication"". Higher education promoted career advancement. Urban elites throughout the Empire shared a literary culture imbued with Greek educational ideals (paideia). Hellenistic cities sponsored schools of higher learning to express cultural achievement. Young Roman men often went abroad to study rhetoric and philosophy, mostly to Athens. The curriculum in the East was more likely to include music and physical training. On the Hellenistic model, Vespasian endowed chairs of grammar, Latin and Greek rhetoric, and philosophy at Rome, and gave secondary teachers special exemptions from taxes and legal penalties. In the Eastern Empire, Berytus (present-day Beirut) was unusual in offering a Latin education, and became famous for its school of Roman law. The cultural movement known as the Second Sophistic (1st–3rd century AD) promoted the assimilation of Greek and Roman social,

Hydraulic mining allowed base and precious metals to be extracted on a proto-industrial scale. The total annual iron output is estimated at 82,500 tonnes. Copper and lead production levels were unmatched until the Industrial Revolution. At its peak around the mid-2nd century, the Roman silver stock is estimated at 10,000 t, five to ten times larger than the combined silver mass of medieval Europe and the Caliphate around 800 AD. As an indication of the scale of Roman metal production, lead pollution in the Greenland ice sheet quadrupled over prehistoric levels during the Imperial era and dropped thereafter."
36,"
How did Romans deal with Celtic religious traditions in Gaul?
","
Romans initially suppressed druidism but later allowed Celtic traditions to merge with Roman theology, creating a new Gallo-Roman religion.
","Economic historians vary in their calculations of the gross domestic product during the Principate. In the sample years of 14, 100, and 150 AD, estimates of per capita GDP range from 166 to 380 HS. The GDP per capita of Italy is estimated as 40 to 66% higher than in the rest of the Empire, due to tax transfers from the provinces and the concentration of elite income.

Mystery religions, which offered initiates salvation in the afterlife, were a matter of personal choice, practiced in addition to one's family rites and public religion. The mysteries, however, involved exclusive oaths and secrecy, which conservative Romans viewed with suspicion as characteristic of ""magic"", conspiracy (coniuratio), and subversive activity. Thus, sporadic and sometimes brutal attempts were made to suppress religionists. In Gaul, the power of the druids was checked, first by forbidding Roman citizens to belong to the order, and then by banning druidism altogether. However, Celtic traditions were reinterpreted within the context of Imperial theology, and a new Gallo-Roman religion coalesced; its capital at the Sanctuary of the Three Gauls established precedent for Western cult as a form of Roman-provincial identity. The monotheistic rigour of Judaism posed difficulties for Roman policy that led at times to compromise and granting of special exemptions. Tertullian noted

as a form of Roman-provincial identity. The monotheistic rigour of Judaism posed difficulties for Roman policy that led at times to compromise and granting of special exemptions. Tertullian noted that Judaism, unlike Christianity, was considered a religio licita, ""legitimate religion"". The Jewish–Roman wars resulted from political as well as religious conflicts; the siege of Jerusalem in 70 AD led to the sacking of the Second Temple and the dispersal of Jewish political power (see Jewish diaspora)."
37,"
What inheritance rights did Roman girls have compared to boys?
","
Girls had equal inheritance rights as boys when their father died intestate (without a will).
","to divorce, nor to speedy remarriage after being widowed or divorced. Girls had equal inheritance rights with boys if their father died without leaving a will. A mother's right to own and dispose of property, including setting the terms of her will, gave her enormous influence over her sons into adulthood.

Diocletian divided the empire into four regions, each ruled by a separate tetrarch. Confident that he fixed the disorder plaguing Rome, he abdicated along with his co-emperor, but the Tetrarchy collapsed shortly after. Order was eventually restored by Constantine the Great, who became the first emperor to convert to Christianity, and who established Constantinople as the new capital of the Eastern Empire. During the decades of the Constantinian and Valentinian dynasties, the empire was divided along an east–west axis, with dual power centres in Constantinople and Rome. Julian, who under the influence of his adviser Mardonius attempted to restore Classical Roman and Hellenistic religion, only briefly interrupted the succession of Christian emperors. Theodosius I, the last emperor to rule over both East and West, died in 395 after making Christianity the state religion.

=== Military ===

After the Punic Wars, the Roman army comprised professional soldiers who volunteered for 20 years of active duty and five as reserves. The transition to a professional military began during the late Republic and was one of the many profound shifts away from republicanism, under which an army of conscript citizens defended the homeland against a specific threat. The Romans expanded their war machine by ""organizing the communities that they conquered in Italy into a system that generated huge reservoirs of manpower for their army"". By Imperial times, military service was a full-time career. The pervasiveness of military garrisons throughout the Empire was a major influence in the process of Romanization.
The primary mission of the military of the early empire was to preserve the Pax Romana. The three major divisions of the military were:"
38,"
What was the social status of entertainers in the Roman Empire?
","
Despite being legally classified as infames (similar to slaves), successful entertainers could achieve wealth, fame, and social connections with the elite class.
","In the later Empire, the dignitas (""worth, esteem"") that attended on senatorial or equestrian rank was refined further with titles such as vir illustris (""illustrious man""). The appellation clarissimus (Greek lamprotatos) was used to designate the dignitas of certain senators and their immediate family, including women. ""Grades"" of equestrian status proliferated.

Freeborn Roman women were considered citizens, but did not vote, hold political office, or serve in the military. A mother's citizen status determined that of her children, as indicated by the phrase ex duobus civibus Romanis natos (""children born of two Roman citizens""). A Roman woman kept her own family name (nomen) for life. Children most often took the father's name, with some exceptions. Women could own property, enter contracts, and engage in business. Inscriptions throughout the Empire honour women as benefactors in funding public works, an indication they could hold considerable fortunes.

Like gladiators, entertainers were legally infames, technically free but little better than slaves. ""Stars"", however, could enjoy considerable wealth and celebrity, and mingled socially and often sexually with the elite. Performers supported each other by forming guilds, and several memorials for theatre members survive. Theatre and dance were often condemned by Christian polemicists in the later Empire."
39,"
When did slavery in the Roman Empire come to an end?
","
Slavery gradually disappeared during the 6th and 7th centuries as the Imperial economy broke down.
","arable land and industries affected preexisting practices of slavery in the provinces. Although slavery has often been regarded as waning in the 3rd and 4th centuries, it remained an integral part of Roman society until gradually ceasing in the 6th and 7th centuries with the disintegration of the complex Imperial economy.

At the time of Augustus, as many as 35% of the people in Roman Italy were slaves, making Rome one of five historical ""slave societies"" in which slaves constituted at least a fifth of the population and played a major role in the economy. Slavery was a complex institution that supported traditional Roman social structures as well as contributing economic utility. In urban settings, slaves might be professionals such as teachers, physicians, chefs, and accountants; the majority of slaves provided trained or unskilled labour. Agriculture and industry, such as milling and mining, relied on the exploitation of slaves. Outside Italy, slaves were on average an estimated 10 to 20% of the population, sparse in Roman Egypt but more concentrated in some Greek areas. Expanding Roman ownership of arable land and industries affected preexisting practices of slavery in the provinces. Although slavery has often been regarded as waning in the 3rd and 4th centuries, it remained an integral part of

Although sometimes regarded as foreign, music and dance existed in Rome from earliest times. Music was customary at funerals, and the tibia, a woodwind instrument, was played at sacrifices. Song (carmen) was integral to almost every social occasion. Music was thought to reflect the orderliness of the cosmos. Various woodwinds and ""brass"" instruments were played, as were stringed instruments such as the cithara, and percussion. The cornu, a long tubular metal wind instrument, was used for military signals and on parade. These instruments spread throughout the provinces and are widely depicted in Roman art. The hydraulic pipe organ (hydraulis) was ""one of the most significant technical and musical achievements of antiquity"", and accompanied gladiator games and events in the amphitheatre. Although certain dances were seen at times as non-Roman or unmanly, dancing was embedded in religious rituals of archaic Rome. Ecstatic dancing was a feature of the mystery religions, particularly the"
40,"
What caused the decline of the Roman Empire's monetary system during the third century?
","
The monetary system declined due to currency debasement, inflation, reduced trade, disrupted mining, and gold being taken by invaders, which destroyed banking confidence and the credit market.
","The Romans constructed numerous aqueducts. De aquaeductu, a treatise by Frontinus, who served as water commissioner, reflects the administrative importance placed on the water supply. Masonry channels carried water along a precise gradient, using gravity alone. It was then collected in tanks and fed through pipes to public fountains, baths, toilets, or industrial sites. The main aqueducts in Rome were the Aqua Claudia and the Aqua Marcia. The complex system built to supply Constantinople had its most distant supply drawn from over 120 km away along a route of more than 336 km. Roman aqueducts were built to remarkably fine tolerance, and to a technological standard not equalled until modern times. The Romans also used aqueducts in their extensive mining operations across the empire.

Emperors of the Antonine and Severan dynasties debased the currency, particularly the denarius, under the pressures of meeting military payrolls. Sudden inflation under Commodus damaged the credit market. In the mid-200s, the supply of specie contracted sharply. Conditions during the Crisis of the Third Century—such as reductions in long-distance trade, disruption of mining operations, and the physical transfer of gold coinage outside the empire by invading enemies—greatly diminished the money supply and the banking sector. Although Roman coinage had long been fiat money or fiduciary currency, general economic anxieties came to a head under Aurelian, and bankers lost confidence in coins. Despite Diocletian's introduction of the gold solidus and monetary reforms, the credit market of the Empire never recovered its former robustness.

Literacy began to decline during the Crisis of the Third Century. The emperor Julian banned Christians from teaching the classical curriculum, but the Church Fathers and other Christians adopted Latin and Greek literature, philosophy and science in biblical interpretation. As the Western Roman Empire declined, reading became rarer even for those within the Church hierarchy, although it continued in the Byzantine Empire."
41,"
How did the Roman Empire maintain unity despite its diverse population?
","
The Empire fostered a shared Roman identity through public spaces like forums and amphitheatres that were accessible to all citizens regardless of their cultural background.
","The Empire was remarkably multicultural, with ""astonishing cohesive capacity"" to create shared identity while encompassing diverse peoples. Public monuments and communal spaces open to all—such as forums, amphitheatres, racetracks and baths—helped foster a sense of ""Romanness"".
Roman society had multiple, overlapping social hierarchies. The civil war preceding Augustus caused upheaval, but did not effect an immediate redistribution of wealth and social power. From the perspective of the lower classes, a peak was merely added to the social pyramid. Personal relationships—patronage, friendship (amicitia), family, marriage—continued to influence politics. By the time of Nero, however, it was not unusual to find a former slave who was richer than a freeborn citizen, or an equestrian who exercised greater power than a senator.

army. Augustus also created the Praetorian Guard: nine cohorts, ostensibly to maintain the public peace, which were garrisoned in Italy. Better paid than the legionaries, the Praetorians served only sixteen years.

In the later Empire, the dignitas (""worth, esteem"") that attended on senatorial or equestrian rank was refined further with titles such as vir illustris (""illustrious man""). The appellation clarissimus (Greek lamprotatos) was used to designate the dignitas of certain senators and their immediate family, including women. ""Grades"" of equestrian status proliferated."
42,"
What lasting cultural and institutional influences did the Roman Empire have on language development?
","
Latin evolved into the Romance languages in the West, while Medieval Greek became the dominant language in the Eastern territories of the empire.
","In the city of Rome, most people lived in multistory apartment buildings (insulae) that were often squalid firetraps. Public facilities—such as baths (thermae), toilets with running water (latrinae), basins or elaborate fountains (nymphea) delivering fresh water, and large-scale entertainments such as chariot races and gladiator combat—were aimed primarily at the common people. 
The public baths served hygienic, social and cultural functions. Bathing was the focus of daily socializing. Roman baths were distinguished by a series of rooms that offered communal bathing in three temperatures, with amenities that might include an exercise room, sauna, exfoliation spa, ball court, or outdoor swimming pool. Baths had hypocaust heating: the floors were suspended over hot-air channels. Public baths were part of urban culture throughout the provinces, but in the late 4th century, individual tubs began to replace communal bathing. Christians were advised to go to the baths only for hygiene.

Due to the Empire's extent and endurance, its institutions and culture had a lasting influence on the development of language, religion, art, architecture, literature, philosophy, law, and forms of government across its territories. Latin evolved into the Romance languages while Medieval Greek became the language of the East. The Empire's adoption of Christianity resulted in the formation of medieval Christendom. Roman and Greek art had a profound impact on the Italian Renaissance. Rome's architectural tradition served as the basis for Romanesque, Renaissance, and Neoclassical architecture, influencing Islamic architecture. The rediscovery of classical science and technology (which formed the basis for Islamic science) in medieval Europe contributed to the Scientific Renaissance and Scientific Revolution. Many modern legal systems, such as the Napoleonic Code, descend from Roman law. Rome's republican institutions have influenced the Italian city-state republics of the medieval

Taxation under the Empire amounted to about 5% of its gross product. The typical tax rate for individuals ranged from 2 to 5%. The tax code was ""bewildering"" in its complicated system of direct and indirect taxes, some paid in cash and some in kind. Taxes might be specific to a province, or kinds of properties such as fisheries; they might be temporary. Tax collection was justified by the need to maintain the military, and taxpayers sometimes got a refund if the army captured a surplus of booty. In-kind taxes were accepted from less-monetized areas, particularly those who could supply grain or goods to army camps."
43,"
What role did music play in ancient Roman society?
","
Music was deeply integrated into Roman life, being present at various social occasions like funerals and sacrifices, and was believed to represent cosmic order.
","Land transport utilized the advanced system of Roman roads, called ""viae"". These roads were primarily built for military purposes, but also served commercial ends. The in-kind taxes paid by communities included the provision of personnel, animals, or vehicles for the cursus publicus, the state mail and transport service established by Augustus. Relay stations were located along the roads every seven to twelve Roman miles, and tended to grow into villages or trading posts. A mansio (plural mansiones) was a privately run service station franchised by the imperial bureaucracy for the cursus publicus. The distance between mansiones was determined by how far a wagon could travel in a day. Carts were usually pulled by mules, travelling about 4 mph.

Although sometimes regarded as foreign, music and dance existed in Rome from earliest times. Music was customary at funerals, and the tibia, a woodwind instrument, was played at sacrifices. Song (carmen) was integral to almost every social occasion. Music was thought to reflect the orderliness of the cosmos. Various woodwinds and ""brass"" instruments were played, as were stringed instruments such as the cithara, and percussion. The cornu, a long tubular metal wind instrument, was used for military signals and on parade. These instruments spread throughout the provinces and are widely depicted in Roman art. The hydraulic pipe organ (hydraulis) was ""one of the most significant technical and musical achievements of antiquity"", and accompanied gladiator games and events in the amphitheatre. Although certain dances were seen at times as non-Roman or unmanly, dancing was embedded in religious rituals of archaic Rome. Ecstatic dancing was a feature of the mystery religions, particularly the

Modern scholars have found the pleasure Romans took in the ""theatre of life and death"" difficult to understand. Pliny the Younger rationalized gladiator spectacles as good for the people, ""to inspire them to face honourable wounds and despise death, by exhibiting love of glory and desire for victory"". Some Romans such as Seneca were critical of the brutal spectacles, but found virtue in the courage and dignity of the defeated fighter—an attitude that finds its fullest expression with the Christians martyred in the arena. Tertullian considered deaths in the arena to be nothing more than a dressed-up form of human sacrifice. Even martyr literature, however, offers ""detailed, indeed luxuriant, descriptions of bodily suffering"", and became a popular genre at times indistinguishable from fiction."
